Accession,Release_Date,Species,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW040673,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: FL,FL,Homo sapiens,,2020-04-24
MW040675,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: FL,FL,Homo sapiens,,2020-05-07
MW040678,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: FL,FL,Homo sapiens,,2020-05-08
MW040679,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: FL,FL,Homo sapiens,,2020-05-09
MW040681,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: FL,FL,Homo sapiens,,2020-05-12
MW040683,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: FL,FL,Homo sapiens,,2020-05-12
MW040686,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29791,USA: FL,FL,Homo sapiens,,2020-06-25
MW040687,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: FL,FL,Homo sapiens,,2020-06-25
MW040690,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA: FL,FL,Homo sapiens,,2020-06-27
MW040693,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: FL,FL,Homo sapiens,,2020-06-28
MW040694,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: FL,FL,Homo sapiens,,2020-06-28
MW040695,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: FL,FL,Homo sapiens,,2020-06-28
MW040696,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: FL,FL,Homo sapiens,,2020-06-29
MW040697,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: FL,FL,Homo sapiens,,2020-06-30
MT594401,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,France,,Homo sapiens,,2020-04-20
MT594402,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,France,,Homo sapiens,,2020-04-20
MW039234,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: Wyoming,WY,Homo sapiens,,2020-05-02
MW039235,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: Wyoming,WY,Homo sapiens,,2020-05-01
MW039450,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: Wyoming,WY,Homo sapiens,,2020-05-18
MW035370,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05
MW035371,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05
MW035373,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-06
MW035374,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Marquette county",WI,Homo sapiens,oronasopharynx,2020-08-06
MW035376,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-30
MW035377,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-10
MW035378,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-10
MW035379,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05
MW035380,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05
MW035381,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Lafayette county",WI,Homo sapiens,oronasopharynx,2020-08-07
MW035382,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05
MW035384,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-19
MW035385,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035386,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035388,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035389,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035391,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035392,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035393,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035394,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-19
MW035395,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035396,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14
MW035397,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035399,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-15
MW035400,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14
MW035401,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035402,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035403,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035404,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035405,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14
MW035406,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035407,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14
MW035408,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035409,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035410,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-19
MW035411,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035412,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035413,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035414,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-19
MW035415,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035416,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035418,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-15
MW035419,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-19
MW035420,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17
MW035422,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-18
MW035423,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-16
MW035425,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-08-16
MW035426,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-20
MW035427,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-16
MW035428,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14
MW035429,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-23
MW035430,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,2020-08-22
MW035431,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035432,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035433,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035434,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-23
MW035435,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035436,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035437,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035438,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035439,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Iowa county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035440,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035441,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035442,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035443,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-22
MW035444,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035445,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035446,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035447,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-24
MW035448,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035449,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035450,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035451,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-22
MW035452,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-25
MW035453,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-21
MW035454,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-11
MW035455,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-12
MW035456,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035458,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,2020-09-02
MW035459,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Nassau county",NY,Homo sapiens,oronasopharynx,2020-09-01
MW035460,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29773,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-02
MW035461,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035462,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-01
MW035463,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-01
MW035464,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-02
MW035465,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-09-01
MW035466,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, San Diego county",CA,Homo sapiens,oronasopharynx,2020-09-02
MW035468,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Adams county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035469,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Iowa county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035471,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035472,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-01
MW035473,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-29
MW035474,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-01
MW035475,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035476,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, Los Angeles county",CA,Homo sapiens,oronasopharynx,2020-09-02
MW035484,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-27
MW035495,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-08-29
MW035496,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-27
MW035497,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-26
MW035498,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-08-30
MW035499,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035500,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Nassau county",NY,Homo sapiens,oronasopharynx,2020-08-30
MW035501,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-31
MW035502,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,2020-08-29
MW035503,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-27
MW035504,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-30
MW035505,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,2020-09-04
MW035506,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Monroe county",WI,Homo sapiens,oronasopharynx,2020-09-04
MW035507,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035509,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035511,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, New York county",NY,Homo sapiens,oronasopharynx,2020-09-09
MW035512,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035514,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035515,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035516,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035517,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035518,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035519,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Westchester county",NY,Homo sapiens,oronasopharynx,2020-09-08
MW035520,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035521,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-07
MW035522,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035524,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035525,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035526,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035527,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-09
MW035528,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-07
MW035529,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-07
MW035530,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035531,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035532,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New Jersey, Morris county",NJ,Homo sapiens,oronasopharynx,2020-09-06
MW035533,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-07
MW035534,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035535,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035536,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-05
MW035537,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29773,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-06
MW035538,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,2020-09-08
MW035539,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-06
MW035540,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-04
MW035541,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-05
MW035542,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Lincoln county",WI,Homo sapiens,oronasopharynx,2020-09-06
MW035543,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,2020-09-06
MW035545,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Putnam county",NY,Homo sapiens,oronasopharynx,2020-09-06
MW035546,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-05
MW035548,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-05
MW035549,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-09-06
MW035550,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-09-04
MW035551,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, Los Angeles county",CA,Homo sapiens,oronasopharynx,2020-09-05
